Entity,Code,Year,Censorship of LGBT+ issues (historical)
Zambia,ZMB,1978,Imprisonment as punishment
Zambia,ZMB,1979,Imprisonment as punishment
Zambia,ZMB,1980,Imprisonment as punishment
Zambia,ZMB,1981,Imprisonment as punishment
Zambia,ZMB,1982,Imprisonment as punishment
Zambia,ZMB,1983,Imprisonment as punishment
Zambia,ZMB,1984,Imprisonment as punishment
Zambia,ZMB,1985,Imprisonment as punishment
Zambia,ZMB,1986,Imprisonment as punishment
Zambia,ZMB,1987,Imprisonment as punishment
Zambia,ZMB,1988,Imprisonment as punishment
Zambia,ZMB,1989,Imprisonment as punishment
Zambia,ZMB,1990,Imprisonment as punishment
Zambia,ZMB,1991,Imprisonment as punishment
Zambia,ZMB,1992,Imprisonment as punishment
Zambia,ZMB,1993,Imprisonment as punishment
Zambia,ZMB,1994,Imprisonment as punishment
Zambia,ZMB,1995,Imprisonment as punishment
Zambia,ZMB,1996,Imprisonment as punishment
Zambia,ZMB,1997,Imprisonment as punishment
Zambia,ZMB,1998,Imprisonment as punishment
Zambia,ZMB,1999,Imprisonment as punishment
Zambia,ZMB,2000,Imprisonment as punishment
Zambia,ZMB,2001,Imprisonment as punishment
Zambia,ZMB,2002,Imprisonment as punishment
Zambia,ZMB,2003,Imprisonment as punishment
Zambia,ZMB,2004,Imprisonment as punishment
Zambia,ZMB,2005,Imprisonment as punishment
Zambia,ZMB,2006,Imprisonment as punishment
Zambia,ZMB,2007,Imprisonment as punishment
Zambia,ZMB,2008,Imprisonment as punishment
Zambia,ZMB,2009,Imprisonment as punishment
Zambia,ZMB,2010,Imprisonment as punishment
Zambia,ZMB,2011,Imprisonment as punishment
Zambia,ZMB,2012,Imprisonment as punishment
Zambia,ZMB,2013,Imprisonment as punishment
Zambia,ZMB,2014,Imprisonment as punishment
Zambia,ZMB,2015,Imprisonment as punishment
Zambia,ZMB,2016,Imprisonment as punishment
Zambia,ZMB,2017,Imprisonment as punishment
Zambia,ZMB,2018,Imprisonment as punishment
Zambia,ZMB,2019,Imprisonment as punishment
Zambia,ZMB,2020,Imprisonment as punishment
Zambia,ZMB,2021,Imprisonment as punishment
Zambia,ZMB,2022,Imprisonment as punishment
Zambia,ZMB,2023,Imprisonment as punishment
Zambia,ZMB,2024,Imprisonment as punishment
Zambia,ZMB,2025,Imprisonment as punishment
Zimbabwe,ZWE,1967,Imprisonment as punishment
Zimbabwe,ZWE,1968,Imprisonment as punishment
Zimbabwe,ZWE,1969,Imprisonment as punishment
Zimbabwe,ZWE,1970,Imprisonment as punishment
Zimbabwe,ZWE,1971,Imprisonment as punishment
Zimbabwe,ZWE,1972,Imprisonment as punishment
Zimbabwe,ZWE,1973,Imprisonment as punishment
Zimbabwe,ZWE,1974,Imprisonment as punishment
Zimbabwe,ZWE,1975,Imprisonment as punishment
Zimbabwe,ZWE,1976,Imprisonment as punishment
Zimbabwe,ZWE,1977,Imprisonment as punishment
Zimbabwe,ZWE,1978,Imprisonment as punishment
Zimbabwe,ZWE,1979,Imprisonment as punishment
Zimbabwe,ZWE,1980,Imprisonment as punishment
Zimbabwe,ZWE,1981,Imprisonment as punishment
Zimbabwe,ZWE,1982,Imprisonment as punishment
Zimbabwe,ZWE,1983,Imprisonment as punishment
Zimbabwe,ZWE,1984,Imprisonment as punishment
Zimbabwe,ZWE,1985,Imprisonment as punishment
Zimbabwe,ZWE,1986,Imprisonment as punishment
Zimbabwe,ZWE,1987,Imprisonment as punishment
Zimbabwe,ZWE,1988,Imprisonment as punishment
Zimbabwe,ZWE,1989,Imprisonment as punishment
Zimbabwe,ZWE,1990,Imprisonment as punishment
Zimbabwe,ZWE,1991,Imprisonment as punishment
Zimbabwe,ZWE,1992,Imprisonment as punishment
Zimbabwe,ZWE,1993,Imprisonment as punishment
Zimbabwe,ZWE,1994,Imprisonment as punishment
Zimbabwe,ZWE,1995,Imprisonment as punishment
Zimbabwe,ZWE,1996,Imprisonment as punishment
Zimbabwe,ZWE,1997,Imprisonment as punishment
Zimbabwe,ZWE,1998,Imprisonment as punishment
Zimbabwe,ZWE,1999,Imprisonment as punishment
Zimbabwe,ZWE,2000,Imprisonment as punishment
Zimbabwe,ZWE,2001,Imprisonment as punishment
Zimbabwe,ZWE,2002,Imprisonment as punishment
Zimbabwe,ZWE,2003,Imprisonment as punishment
Zimbabwe,ZWE,2004,Imprisonment as punishment
Zimbabwe,ZWE,2005,Imprisonment as punishment
Zimbabwe,ZWE,2006,Imprisonment as punishment
Zimbabwe,ZWE,2007,Imprisonment as punishment
Zimbabwe,ZWE,2008,Imprisonment as punishment
Zimbabwe,ZWE,2009,Imprisonment as punishment
Zimbabwe,ZWE,2010,Imprisonment as punishment
Zimbabwe,ZWE,2011,Imprisonment as punishment
Zimbabwe,ZWE,2012,Imprisonment as punishment
Zimbabwe,ZWE,2013,Imprisonment as punishment
Zimbabwe,ZWE,2014,Imprisonment as punishment
Zimbabwe,ZWE,2015,Imprisonment as punishment
Zimbabwe,ZWE,2016,Imprisonment as punishment
Zimbabwe,ZWE,2017,Imprisonment as punishment
Zimbabwe,ZWE,2018,Imprisonment as punishment
Zimbabwe,ZWE,2019,Imprisonment as punishment
Zimbabwe,ZWE,2020,Imprisonment as punishment
Zimbabwe,ZWE,2021,Imprisonment as punishment
Zimbabwe,ZWE,2022,Imprisonment as punishment
Zimbabwe,ZWE,2023,Imprisonment as punishment
Zimbabwe,ZWE,2024,Imprisonment as punishment
Zimbabwe,ZWE,2025,Imprisonment as punishment
