company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
EOG Resources ,United States,North America,Oil & Gas,Public,2023,8.0,15,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.5,1,1.0,0.0
Equinix,United States,North America,Real Estate,Public,2023,8.7,17,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,1.0,0,1,0,1.0,1,1.0,0.0
Equinor,Norway,Europe & Central Asia,Oil & Gas,Public,2023,10.2,19,0,0,0,2.0,0,0.0,1,1,1,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Eranove,France,Europe & Central Asia,Utilities,Private,2024,3.6,7,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
Ericsson,Sweden,Europe & Central Asia,Electronics,Public,2023,14.5,28,0,1,1,2.0,0,1.0,0,0,1,0,0,1,0,0.0,0,2,0,1.0,2,1.0,0.0
Erste Group Bank ,Austria,Europe & Central Asia,Banks,Public,2024,15.8,30,1,1,0,1.0,0,0.0,1,0,1,0,0,0,0,1.0,2,2,0,1.5,1,1.0,0.0
Eskom,South Africa,Sub-Saharan Africa,Utilities,Government,2023,10.0,19,1,0,0,2.0,0,0.0,2,1,0,0,0,1,0,0.0,0,1,0,1.0,1,0.0,0.0
Essity,Sweden,Europe & Central Asia,Personal & Household Products,Public,2024,12.3,24,0,1,1,2.0,0,0.0,0,0,0,0,0,1,0,0.0,0,2,0,1.0,2,1.0,0.0
Ethio Telecom,Ethiopia,Sub-Saharan Africa,Telecommunications,Government,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Cemros,Russian Federation,Europe & Central Asia,Conglomerates,Private,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
EuroChem,Switzerland,Europe & Central Asia,Chemicals,Private,2023,3.6,7,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0.0,0.0
Eutelsat,France,Europe & Central Asia,Telecommunications,Public,2023,11.0,21,1,1,0,2.0,0,0.0,2,0,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
Evergreen Marine Corporation,"Taiwan, China",East Asia & Pacific,Freight & logistics,Public,2024,12.0,23,0,0,0,1.0,0,0.0,0,0,2,0,0,0,0,0.0,1,0,0,1.5,2,1.0,0.0
Evonik,Germany,Europe & Central Asia,Chemicals,Public,2023,13.8,26,1,1,0,2.0,0,0.0,0,1,1,0,0,0,0,0.0,1,2,0,1.0,2,1.0,0.0
Evraz,United Kingdom,Europe & Central Asia,Metals & Mining,Private,2024,8.0,15,0,0,0,1.0,0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
EW Group,Germany,Europe & Central Asia,Agricultural Products,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Exelon Corporation,United States,North America,Utilities,Public,2023,12.7,24,0,0,0,2.0,0,0.0,1,0,1,0,0,1,0,0.0,1,0,0,1.5,1,1.0,0.0
Expeditors,United States,North America,Postal & Courier Activities,Public,2024,5.8,11,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
ExxonMobil,United States,North America,Oil & Gas,Public,2023,12.7,24,0,0,0,1.0,0,0.0,0,0,0,0,0,2,0,0.0,1,2,0,1.5,1,1.0,0.0
Glico,Japan,East Asia & Pacific,Food Production,Public,2023,6.9,13,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0.0,2,2,0,0.5,0,0.0,0.0
FCF,"Taiwan, China",East Asia & Pacific,Food Production,Private,2023,15.3,29,1,0,0,0.0,0,0.0,1,2,4,0,0,0,1,1.0,2,0,0,1.0,1,1.0,0.0
Meta,United States,North America,IT Software & Services,Public,2023,15.8,30,1,1,0,2.0,0,0.0,1,0,0,0,0,1,0,0.0,1,1,0,1.0,2,1.0,0.0
Far EasTone,"Taiwan, China",East Asia & Pacific,Telecommunications,Public,2023,16.5,32,0,1,2,0.0,0,0.0,1,0,1,0,0,0,2,0.0,0,2,0,1.5,2,1.0,0.0
Fast Retailing,Japan,East Asia & Pacific,Apparel & Footwear,Public,2023,19.4,37,0,2,0,1.0,0,0.5,2,1,0,0,0,0,0,0.0,2,1,2,1.5,2,1.0,0.0
FRTIB,United States,North America,Pension Funds,Government,2024,5.1,10,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,1,2,0,0.0,0,1.0,0.0
FedEx,United States,North America,Postal & Courier Activities,Public,2024,12.0,23,0,0,0,2.0,0,0.0,0,0,1,0,0,2,0,0.0,0,0,0,1.5,1,1.0,0.0
Ferrero,Luxembourg,Europe & Central Asia,Food Production,Private,2023,13.6,26,0,0,0,2.0,0,0.0,0,1,1,0,0,0,0,2.0,1,1,1,1.0,2,1.0,0.0
Ferrovial,Spain,Europe & Central Asia,Construction & Engineering,Public,2024,10.5,20,0,0,0,2.0,0,0.0,0,0,2,0,0,0,2,0.0,0,1,0,1.0,1,1.0,0.0
FS Group,Italy,Europe & Central Asia,Passenger Transport,Government,2024,16.8,32,1,1,1,2.0,0,0.0,1,0,1,0,0,0,0,0.0,2,1,0,1.5,1,1.0,0.0
FGV Holdings,Malaysia,East Asia & Pacific,Agricultural Products,Public,2023,13.1,25,1,0,0,2.0,0,0.0,0,2,0,0,0,0,0,0.0,1,0,0,1.5,1,1.0,0.0
Fidelity International,United Kingdom,Europe & Central Asia,Traditional Asset Managers,Private,2024,4.9,9,0,1,0,0.0,0,0.0,1,0,1,0,0,1,0,1.0,0,2,0,0.0,0,0.0,0.0
Fidelity Investments,United States,North America,Traditional Asset Managers,Private,2024,6.6,13,0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,0.0,2,2,0,0.0,1,0.0,0.0
Fifth Third Bancorp,United States,North America,Banks,Public,2024,17.7,34,0,0,0,2.0,0,0.0,1,0,1,0,0,1,0,0.0,2,1,0,2.0,2,1.0,0.0
Fincantieri,Italy,Europe & Central Asia,Capital Goods,Government,2024,14.7,28,1,1,1,2.0,0,0.0,1,0,1,0,0,1,0,0.0,1,1,0,1.0,1,1.0,0.0
Firmenich,Switzerland,Europe & Central Asia,,,2023,23.4,45,1,1,0,2.0,0,0.0,3,2,1,0,0,1,2,3.0,1,2,2,1.0,2,1.0,0.0
First Abu Dhabi Bank,United Arab Emirates,Middle East & North Africa,Banks,Public,2024,8.3,16,1,1,0,2.0,0,0.0,1,0,1,0,0,0,0,1.0,0,1,0,1.0,0,0.0,0.0
First Solar,United States,North America,Capital Goods,Public,2023,8.4,16,0,0,0,2.0,0,0.0,0,1,1,0,0,0,0,0.0,0,2,0,0.0,2,1.0,0.0
FirstGroup,United Kingdom,Europe & Central Asia,Passenger Transport,Public,2024,8.4,16,1,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
FirstRand,South Africa,Sub-Saharan Africa,Banks,Public,2024,10.9,21,1,0,0,0.0,0,0.0,0,0,1,0,1,2,0,0.0,0,0,0,1.0,1,1.0,0.0
Fletcher Building,New Zealand,East Asia & Pacific,Construction Materials & Supplies,Public,2024,10.5,20,0,0,0,2.0,0,0.0,0,2,0,0,0,0,0,2.0,0,2,0,1.0,1,1.0,0.0
Florida State Board of Administration,United States,North America,Pension Funds,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Flour Mills of Nigeria,Nigeria,Sub-Saharan Africa,Food Production,Public,2023,6.0,11,0,0,0,1.0,0,0.0,0,1,1,0,0,1,0,1.0,1,0,0,0.0,1,0.0,0.0
Fluor,United States,North America,Construction & Engineering,Public,2024,12.0,23,0,0,0,2.0,0,0.0,0,1,0,0,0,2,0,0.0,0,0,0,1.5,1,1.0,0.0
FMC,United States,North America,Chemicals,Public,2023,17.8,34,1,1,0,2.0,1,0.0,0,1,1,0,0,1,0,0.0,1,2,0,1.5,2,1.0,0.0
FMO,Netherlands,Europe & Central Asia,Development Finance Institutions,Government,2024,12.1,23,1,0,1,2.0,0,0.0,2,0,2,0,0,0,0,0.0,0,1,0,0.0,2,1.0,0.0
FCC,Spain,Europe & Central Asia,Waste Management,Public,2024,14.2,27,1,0,0,1.0,0,0.0,0,2,1,0,0,0,0,1.0,1,1,0,1.5,1,1.0,0.0
Fonterra,New Zealand,East Asia & Pacific,Food Production,Public,2023,13.8,26,0,1,0,2.0,0,0.0,2,1,1,0,0,0,2,1.0,0,2,0,1.0,1,1.0,0.0
Foot Locker,United States,North America,Apparel & Footwear,Public,2023,8.7,17,0,0,0,2.0,0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Ford,United States,North America,Motor Vehicles & Parts,Public,2024,19.6,38,1,0,0,2.0,0,0.0,0,0,2,0,0,2,0,0.0,1,2,0,2.0,2,1.0,0.0
Forever 21,United States,North America,Apparel & Footwear,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
ForFarmers,Netherlands,Europe & Central Asia,Food Production,Public,2023,11.4,22,0,1,0,2.0,1,1.0,0,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Formosa Petrochemical,"Taiwan, China",East Asia & Pacific,Oil & Gas,Public,2023,5.1,10,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,2.0,1,0,0,0.5,0,0.0,0.0
Formosa Plastics Corporation ,"Taiwan, China",East Asia & Pacific,Chemicals,Public,2023,4.9,9,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0,0.5,0,1.0,0.0
Fortum,Finland,Europe & Central Asia,Utilities,Public,2023,16.3,31,0,1,1,2.0,0,0.5,2,0,1,0,0,0,0,0.0,0,2,0,1.5,2,1.0,0.0
Franklin Resources,United States,North America,Traditional Asset Managers,Public,2024,2.2,4,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
Freeport-McMoRan,United States,North America,Metals & Mining,Public,2023,15.6,30,1,1,1,2.0,0,0.0,1,2,1,0,0,0,0,0.0,0,2,0,1.0,2,1.0,0.0
FrieslandCampina,Netherlands,Europe & Central Asia,Food Production,Private,2023,10.7,20,1,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Fubon Financial,"Taiwan, China",East Asia & Pacific,Insurance,Public,2024,19.1,37,0,0,1,0.0,0,0.0,2,0,2,0,0,0,0,1.0,2,2,0,2.0,2,1.0,0.0
Fufeng Group,China,East Asia & Pacific,Food Production,Public,2023,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Fuji Oil Group,Japan,East Asia & Pacific,Food Production,Public,2023,11.8,23,0,1,1,0.0,0,0.0,0,1,1,0,0,1,0,1.0,1,2,0,0.5,1,0.5,0.0
Fujian Sunner Development,China,East Asia & Pacific,Food Production,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Fung Group,"Hong Kong SAR, China",East Asia & Pacific,Apparel & Footwear,Private,2023,2.9,6,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
Future Fund,Australia,East Asia & Pacific,Sovereign Wealth Funds,Government,2024,0.5,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0.0
Galp Energia,Portugal,Europe & Central Asia,Oil & Gas,Public,2023,22.7,43,1,1,0,2.0,0,0.0,0,2,4,0,0,0,2,1.0,1,1,0,2.5,2,1.0,0.0
GAM,Switzerland,Europe & Central Asia,Traditional Asset Managers,Public,2024,7.1,14,0,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1.0,0,1.0,0.0
Gap,United States,North America,Apparel & Footwear,Public,2023,21.2,41,1,1,0,2.0,0,2.0,4,2,0,1,1,0,0,0.0,1,1,0,1.0,2,1.0,0.0
Gazprom,Russian Federation,Europe & Central Asia,Oil & Gas,Government,2023,3.6,7,0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,1.0,0,0.0,0.0
Gd Power Development Company,China,East Asia & Pacific,Utilities,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Gemdale,China,East Asia & Pacific,Real Estate,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
GE,United States,North America,Capital Goods,Public,2023,9.8,19,0,0,0,1.0,0,0.0,1,1,0,0,0,0,0,0.0,0,2,0,1.0,2,1.0,0.0
General Mills,United States,North America,Food Production,Public,2023,15.6,30,1,0,0,2.0,0,0.0,2,1,1,0,0,2,0,1.0,0,1,0,1.0,2,1.0,0.0
General Motors,United States,North America,Motor Vehicles & Parts,Public,2024,14.6,28,0,0,0,2.0,0,0.0,1,0,2,0,0,0,0,0.0,2,0,0,1.5,2,1.0,0.0
Geode Capital Management,United States,North America,Traditional Asset Managers,Private,2024,1.3,2,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0.0
Georgia-Pacific,United States,North America,Paper & Forest Products,Private,2023,6.9,13,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.5,0,1.0,0.0
GIC,Singapore,East Asia & Pacific,Sovereign Wealth Funds,Government,2024,2.7,5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0.5,0,0.0,0.0
G-III Apparel Group,United States,North America,Apparel & Footwear,Public,2023,7.6,15,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Gildan Activewear,Canada,North America,Apparel & Footwear,Public,2023,19.7,38,1,1,1,2.0,0,1.0,1,2,1,0,0,0,0,1.0,0,2,0,1.5,2,1.0,0.0
Gilead Sciences,United States,North America,Pharmaceuticals & Biotechnology,Public,2023,12.0,23,0,0,0,1.0,0,0.0,2,0,0,0,0,1,0,1.0,1,1,0,1.0,2,1.0,0.0
Givaudan,Switzerland,Europe & Central Asia,Chemicals,Public,2023,12.9,25,0,1,1,2.0,0,0.0,1,1,1,0,0,0,1,0.0,0,0,0,1.0,2,1.0,0.0
Glencore,Switzerland,Europe & Central Asia,Metals & Mining,Public,2023,14.1,27,0,1,1,2.0,0,0.0,0,0,1,0,0,1,0,0.0,0,0,0,1.5,2,1.0,0.0
GlobalFoundries,United States,North America,Electronics,Public,2023,14.3,27,1,0,0,2.0,0,0.0,0,2,1,0,0,0,0,3.0,0,2,0,1.0,2,1.0,0.0
Globe Telecom,Philippines,East Asia & Pacific,Telecommunications,Public,2023,13.1,25,0,1,0,2.0,0,0.0,1,1,1,0,0,0,0,1.0,0,1,0,1.5,1,1.0,0.0
Go-Ahead Group,United Kingdom,Europe & Central Asia,Passenger Transport,Public,2024,8.0,15,1,1,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,1,0,0,1.0,1,0.0,0.0
Godrej Consumer Products,India,South Asia,Personal & Household Products,Public,2024,7.8,15,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,2,1,0,0.5,0,1.0,0.0
Golden Agri-Resources,Singapore,East Asia & Pacific,Food Production,Public,2023,9.8,19,0,0,0,2.0,0,0.0,0,0,1,0,1,0,0,0.0,1,0,0,1.0,1,1.0,0.0
Goldman Sachs ,United States,North America,Banks,Public,2024,16.0,31,0,1,0,2.0,0,0.0,0,1,0,0,0,1,0,0.0,2,2,0,1.5,2,1.0,0.0
Goodyear Tire & Rubber,United States,North America,Motor Vehicles & Parts,Public,2023,6.9,13,0,0,0,0.0,0,0.0,0,1,1,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
GPIF,Japan,East Asia & Pacific,Pension Funds,Government,2024,3.3,6,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0.0
Grab,Singapore,East Asia & Pacific,Passenger Transport,Public,2023,10.7,20,1,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1.0,2,0.5,0.0
Graincorp,Australia,East Asia & Pacific,Food Production,Public,2023,14.6,28,0,1,0,2.0,0,0.0,0,1,3,0,0,0,1,2.5,0,2,0,1.0,2,1.0,0.0
Graphic Packaging International,United States,North America,Containers & Packaging,Public,2023,8.7,17,0,0,0,2.0,0,0.0,0,1,0,0,0,2,0,0.0,0,0,0,1.0,0,1.0,0.0
Great Eastern Shipping,India,South Asia,Freight & logistics,Public,2024,4.9,9,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Great Wall Motor Company,China,East Asia & Pacific,Motor Vehicles & Parts,Public,2024,4.4,8,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.5,0,0.0,0.0
Greenland Holdings,China,East Asia & Pacific,Real Estate,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Greentown China Holdings,China,East Asia & Pacific,Real Estate,Public,2024,1.8,3,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0
Greenyard,Belgium,Europe & Central Asia,Food Production,Public,2023,8.2,16,0,0,0,2.0,0,0.5,0,0,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
Groupama Group,France,Europe & Central Asia,Insurance,Private,2024,8.5,16,1,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0.0,0,1,0,1.0,0,1.0,0.0
Groupe Bigard,France,Europe & Central Asia,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Groupe BPCE,France,Europe & Central Asia,Banks,Private,2024,10.1,19,1,1,0,2.0,0,0.0,2,1,0,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
Gruma,Mexico,Latin America & Caribbean,Food Production,Public,2023,4.7,9,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0.5,0.0
Grupo Arcor,Argentina,Latin America & Caribbean,Food Production,Private,2023,14.1,27,1,1,1,1.0,0,0.0,0,2,4,0,0,0,0,0.0,2,0,0,1.0,1,0.0,0.0
Cementos Argos,Colombia,Latin America & Caribbean,Construction Materials & Supplies,Public,2024,15.1,29,1,1,0,2.0,0,0.0,0,2,1,0,0,0,0,0.0,1,1,0,1.0,2,1.0,0.5
Grupo Aval,Colombia,Latin America & Caribbean,Banks,Public,2024,7.8,15,0,0,0,2.0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,0,1.0,0,1.0,0.0
Grupo Bimbo,Mexico,Latin America & Caribbean,Food Production,Public,2023,12.7,24,1,1,0,2.0,0,0.0,0,1,1,0,0,1,0,0.0,1,0,0,1.0,1,1.0,0.0
Credicorp,Peru,Latin America & Caribbean,Banks,Public,2024,8.2,16,0,0,0,1.0,0,0.0,0,1,1,0,0,0,0,1.0,0,2,0,1.0,0,1.0,0.0
Grupo Financiero Banorte,Mexico,Latin America & Caribbean,Banks,Public,2024,7.1,14,0,0,0,1.0,0,0.0,1,2,2,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Grupo Lala,Mexico,Latin America & Caribbean,Food Production,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Grupo Mexico,Mexico,Latin America & Caribbean,Metals & Mining,Public,2023,12.0,23,0,0,0,2.0,1,0.0,1,1,1,0,0,0,0,2.0,0,0,0,1.0,2,1.0,0.0
Grupo Nutresa,Colombia,Latin America & Caribbean,Food Production,Public,2023,10.3,20,1,0,0,2.0,0,0.0,0,2,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
Gruppo Cremonini,Italy,Europe & Central Asia,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Gruppo Veronesi,Italy,Europe & Central Asia,Food Production,Private,2023,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
GS Engineering & Construction,"Korea, Rep.",East Asia & Pacific,Real Estate,Public,2024,4.9,9,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,2,0,0,1.0,0,0.0,0.0
GSK,United Kingdom,Europe & Central Asia,Pharmaceuticals & Biotechnology,Public,2023,18.9,36,1,0,0,2.0,0,1.0,3,1,1,0,0,1,0,2.0,1,2,0,1.0,2,1.0,0.0
GTT,United States,North America,Telecommunications,Private,2023,4.9,9,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,1,0.5,0.0
Guangdong Haid Group,China,East Asia & Pacific,Food Production,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Guangdong Investment,China,East Asia & Pacific,Utilities,Public,2024,7.5,14,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,2,1,0,1.0,1,0.0,0.0
Guangzhou Automobile Group,China,East Asia & Pacific,Motor Vehicles & Parts,Government,2024,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Guess?,United States,North America,Apparel & Footwear,Public,2023,6.6,13,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Guggenheim Partners,United States,North America,Traditional Asset Managers,Private,2024,1.1,2,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0
H&M Group,Sweden,Europe & Central Asia,Apparel & Footwear,Public,2023,13.8,26,1,0,0,2.0,0,0.0,1,0,0,1,0,0,0,0.0,0,0,1,1.5,1,1.0,0.0
Hana Financial Group,"Korea, Rep.",East Asia & Pacific,Banks,Public,2024,18.7,36,1,1,1,1.0,0,0.0,1,2,1,0,0,0,0,1.0,2,2,0,1.5,1,1.0,0.0
Hanesbrands,United States,North America,Apparel & Footwear,Public,2023,10.7,20,0,1,0,2.0,0,0.5,1,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Hankook Tire & Technology,"Korea, Rep.",East Asia & Pacific,Motor Vehicles & Parts,Public,2023,19.6,38,0,1,0,2.0,0,0.5,0,1,1,0,0,0,0,2.0,2,2,0,2.0,2,1.0,0.0
Hankyu Hanshin Holdings,Japan,East Asia & Pacific,Passenger Transport,Public,2024,5.8,11,0,1,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,1,2,0,0.0,0,1.0,0.0
Hanwa,Japan,East Asia & Pacific,Metals & Mining,Public,2024,1.8,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.5,0.0
Hanwha Solutions,"Korea, Rep.",East Asia & Pacific,Chemicals,Public,2023,8.6,16,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,1,1,0,1.0,0,0.5,0.0
Hapag Lloyd,Germany,Europe & Central Asia,Freight & logistics,Public,2024,8.5,16,0,1,1,1.0,0,0.0,0,1,0,0,0,0,0,1.0,1,2,0,0.0,0,1.0,0.0
Harim Holdings,"Korea, Rep.",East Asia & Pacific,Food Production,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Harvest Fund Management,China,East Asia & Pacific,Traditional Asset Managers,Private,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Haseko Corporation,Japan,East Asia & Pacific,Real Estate,Public,2024,8.9,17,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1.5,0,1.0,0.0
HCL,India,South Asia,IT Software & Services,Public,2023,15.1,29,1,1,0,0.0,0,0.0,0,1,1,0,0,1,0,0.0,1,1,0,1.5,2,1.0,0.0
HDFC Bank,India,South Asia,Banks,Public,2024,10.9,21,1,1,0,0.0,1,0.0,0,1,1,0,0,0,0,1.0,1,1,0,1.0,0,1.0,0.0
Talanx Group,Germany,Europe & Central Asia,Insurance,Public,2024,10.2,19,0,1,0,2.0,0,0.0,0,1,1,0,0,0,0,2.0,1,2,0,0.5,1,0.0,0.0
Healthcare of Ontario Pension Plan,Canada,North America,Pension Funds,Government,2024,0.7,1,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Heidelberg Materials,Germany,Europe & Central Asia,Construction Materials & Supplies,Public,2023,12.0,23,0,1,0,2.0,0,0.0,1,2,0,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
Heilan Group,China,East Asia & Pacific,Apparel & Footwear,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Heineken,Netherlands,Europe & Central Asia,Food Production,Public,2023,13.0,25,1,1,0,2.0,1,0.0,1,2,0,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Hellenic Energy,Greece,Europe & Central Asia,Oil & Gas,Public,2023,7.3,14,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,2.0,0,0.5,0.5
OTE,Greece,Europe & Central Asia,Telecommunications,Public,2023,18.0,34,1,1,0,2.0,0,0.0,0,0,1,0,0,0,0,1.0,2,0,0,2.0,2,1.0,0.0
Hengan International,China,East Asia & Pacific,Personal & Household Products,Public,2024,3.3,6,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
Hengli Petrochemical,China,East Asia & Pacific,Chemicals,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Henkel,Germany,Europe & Central Asia,Chemicals,Public,2023,13.8,26,0,0,0,2.0,0,0.0,1,1,0,0,0,1,0,0.0,2,2,0,1.0,2,1.0,0.0
Heraeus Holding,Germany,Europe & Central Asia,Metals & Mining,Private,2023,5.5,10,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1.0,0,1.0,0.0
Hermes International,France,Europe & Central Asia,Apparel & Footwear,Public,2023,20.4,39,0,0,0,1.0,1,1.0,3,1,0,0,0,0,1,1.0,1,2,1,1.5,2,1.0,0.5
Hess,United States,North America,Oil & Gas,Public,2023,10.9,21,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,2.0,0,0,0,1.5,1,1.0,0.0
Hesteel,China,East Asia & Pacific,Metals & Mining,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Hindalco,India,South Asia,Metals & Mining,Public,2024,9.8,19,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1.0,2,1,0,1.0,2,1.0,0.0
