company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
Agropur,Canada,North America,Food Production,Private,2023,1.8,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
Ahold Delhaize,Netherlands,Europe & Central Asia,Food Retailers,Public,2023,16.0,31,1,0,0,2.0,0,0.0,2,1,0,0,1,1,0,0.0,0,2,0,1.5,1,1.0,0.0
AIA,"Hong Kong SAR, China",East Asia & Pacific,Insurance,Public,2024,8.7,17,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
China National Aviation Holding Corporation,China,East Asia & Pacific,Passenger Transport,Government,2024,2.9,6,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
Air France-KLM,France,Europe & Central Asia,Passenger Transport,Public,2024,8.6,16,0,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,1,0,0.5,1,1.0,0.0
Air Liquide,France,Europe & Central Asia,Chemicals,Public,2023,14.3,27,0,1,1,2.0,0,0.0,1,1,0,0,0,0,0,1.0,1,2,0,1.0,2,1.0,0.0
Air Products and Chemicals,United States,North America,Chemicals,Public,2023,9.1,17,0,0,0,2.0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1.0,1,1.0,0.0
Airbnb,United States,North America,Real Estate,Public,2023,10.7,20,0,1,0,2.0,0,0.0,1,1,0,0,0,1,0,0.0,1,1,0,1.0,0,1.0,0.0
Airbus,France,Europe & Central Asia,Capital Goods,Public,2024,12.7,24,1,1,0,2.0,0,0.0,0,2,0,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
Ajinomoto Group,Japan,East Asia & Pacific,Food Production,Public,2023,11.2,21,1,1,0,1.0,0,0.5,0,2,1,0,0,0,0,0.0,1,0,0,1.0,1,0.5,0.0
Akamai,United States,North America,Telecommunications,Public,2023,13.5,26,0,0,0,2.0,0,0.0,0,2,1,0,0,0,0,0.0,0,2,0,2.0,0,1.0,0.0
AkzoNobel,Netherlands,Europe & Central Asia,Chemicals,Public,2023,8.1,16,1,0,0,2.0,0,0.0,1,0,1,0,0,0,1,0.0,0,0,0,0.0,1,1.0,0.0
Alaska Air Group,United States,North America,Passenger Transport,Public,2024,9.3,18,0,0,0,2.0,0,0.0,1,0,0,0,0,1,0,0.0,0,1,0,1.0,1,1.0,0.0
AIMCo,Canada,North America,Pension Funds,Government,2024,9.8,19,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,2,0,1.5,0,1.0,0.0
Albertsons Companies,United States,North America,Food Retailers,Public,2023,10.0,19,0,0,0,2.0,0,0.0,2,0,0,0,0,1,0,0.0,0,1,0,1.0,1,1.0,0.0
Alcoa,United States,North America,Metals & Mining,Public,2024,11.8,23,1,0,0,2.0,0,0.0,1,0,0,0,0,1,0,0.0,0,1,0,1.0,2,1.0,0.0
Aldi Nord,Germany,Europe & Central Asia,Food Retailers,Private,2023,8.7,17,1,0,1,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,1,0.0,0,1.0,0.0
Aldi Süd,Germany,Europe & Central Asia,Food Retailers,Private,2023,19.2,37,1,0,2,1.0,0,1.0,0,0,0,0,0,1,0,0.0,1,2,2,1.0,2,1.0,0.0
Alecta,Sweden,Europe & Central Asia,Pension Funds,Private,2024,1.5,3,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Alibaba,China,East Asia & Pacific,Retail,Public,2023,7.1,14,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,1.0,0,1.0,0.0
Alicorp,Peru,Latin America & Caribbean,Food Production,Public,2023,8.7,17,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,2,2,0,1.0,1,0.0,0.0
Couche-Tard,Canada,North America,Food Retailers,Public,2023,4.2,8,0,1,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Allana Group,India,South Asia,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Allianz,Germany,Europe & Central Asia,Insurance,Public,2024,14.3,27,1,1,0,2.0,0,0.0,2,0,0,0,0,0,0,0.0,0,1,0,1.5,2,1.0,0.0
AllState,United States,North America,Insurance,Public,2024,14.6,28,0,0,0,2.0,0,0.0,0,2,1,0,0,2,0,0.0,0,2,0,1.5,1,1.0,0.0
Alphabet,United States,North America,IT Software & Services,Public,2023,10.5,20,1,1,0,1.0,0,0.5,0,1,1,0,0,0,0,0.0,0,0,0,1.0,2,0.5,0.0
Alstom,France,Europe & Central Asia,Capital Goods,Public,2024,13.7,26,1,1,1,2.0,0,0.0,1,1,1,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Altice,Luxembourg,Europe & Central Asia,Telecommunications,Private,2023,2.2,4,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
CHALCO,China,East Asia & Pacific,Metals & Mining,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Amaggi Group,Brazil,Latin America & Caribbean,Food Production,Private,2023,12.7,24,0,0,0,2.0,0,0.0,0,0,2,0,0,0,1,1.0,1,0,0,1.5,1,1.0,0.0
Amazon,United States,North America,Retail,Public,2023,20.3,39,1,1,0,1.0,0,1.0,1,0,0,0,0,2,0,0.0,1,2,0,2.0,2,1.0,0.0
Amcor,Switzerland,Europe & Central Asia,Containers & Packaging,Public,2023,7.6,15,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Amer International Group,China,East Asia & Pacific,Metals & Mining,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
América Móvil,Mexico,Latin America & Caribbean,Telecommunications,Public,2023,11.4,22,1,1,0,2.0,0,0.0,0,0,1,0,0,0,0,1.0,0,0,0,1.0,1,1.0,0.5
American Airlines Group,United States,North America,Passenger Transport,Public,2024,14.2,27,0,0,0,2.0,0,0.0,1,2,1,0,0,1,0,0.0,1,0,0,1.5,1,1.0,0.0
American Century,United States,North America,Traditional Asset Managers,Private,2024,10.2,20,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,1.0,1,1,0,2.0,0,0.0,0.0
American Crystal,United States,North America,Food Production,Private,2023,1.4,3,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
American Eagle Outfitters,United States,North America,Apparel & Footwear,Public,2023,14.3,27,0,0,0,2.0,0,1.0,3,0,0,0,0,0,0,1.0,0,0,0,1.5,2,1.0,0.0
AEP,United States,North America,Utilities,Public,2023,16.2,31,1,0,0,2.0,0,0.0,2,0,2,0,0,2,2,1.0,0,1,0,1.0,1,1.0,0.0
American International Group,United States,North America,Insurance,Public,2024,13.5,26,0,0,0,2.0,0,0.0,1,0,2,0,0,1,0,0.0,1,0,0,1.5,1,1.0,0.0
American Tower,United States,North America,Real Estate,Public,2023,13.6,26,1,0,0,2.0,0,0.0,0,1,1,0,0,2,0,0.0,1,1,0,1.0,1,1.0,0.0
American Water Works,United States,North America,Utilities,Public,2024,16.2,31,0,0,0,2.0,0,0.0,2,1,3,0,0,2,1,1.0,1,1,0,0.5,1,1.0,0.0
Ameriprise Financial,United States,North America,Traditional Asset Managers,Public,2024,8.2,16,0,0,0,2.0,0,0.0,0,1,0,0,0,1,0,0.0,2,1,0,0.0,0,1.0,0.0
Amorepacific Group,"Korea, Rep.",East Asia & Pacific,Personal & Household Products,Public,2024,17.0,33,1,0,1,2.0,0,1.0,1,1,0,0,0,0,0,1.0,2,1,0,1.0,2,1.0,0.0
